q-img__image src,text-075,gt-xs,text-0875,q-icon,text-0875 (2),text-125,text-0875 (4),text-125 (2),text-100,text-0875 (6),q-btn href,block (3)
https://assets.comparepower.com/images/apge.svg,PUCT # 10105,12 Months,lock Locked Rate,lock,5.85% Green Energy,14.8¢,($148.00 ÷ 1000 kWh),$148.00,True Simple 12,"Low, straight-forward energy rate. No gimmicks or hidden fees",tel:877-420-3510,877-420-3510
https://assets.comparepower.com/images/discount_power.svg,PUCT # 10177,12 Months,lock Locked Rate,lock,24% Green Energy,14.9¢,($148.61 ÷ 1000 kWh),$148.61,Essential Saver 12,Enjoy affordable electricity at a fixed price for 12 months.,tel:866-996-1740,866-996-1740
https://assets.comparepower.com/images/reliant.svg,PUCT # 10007,12 Months,lock Locked Rate,lock,20% Green Energy,14.9¢,($148.61 ÷ 1000 kWh),$148.61,Power Savings 12 plan,"Enjoy a locked-in energy charge and receive a $50 bill credit if your monthly usage equals or exceeds 1,000 kWh. 90 Day Satisfaction Guarantee!",tel:866-983-4620,866-983-4620
https://assets.comparepower.com/images/cirro_energy.svg,PUCT # 10177,12 Months,lock Locked Rate,lock,24% Green Energy,14.9¢,($148.61 ÷ 1000 kWh),$148.61,Simple Advantage 12,"Choose the Simple Adantage 12 plan to lock in your low, fixed energy price. Sign up now to avoid risky, variable rate plans and start saving today!",tel:866-965-5660,866-965-5660
https://assets.comparepower.com/images/cirro_energy.svg,PUCT # 10177,24 Months,lock Locked Rate,lock,24% Green Energy,14.9¢,($148.61 ÷ 1000 kWh),$148.61,Simple Advantage 24,"Choose the Simple Advantage 24 plan to lock in your low, fixed energy price. Sign up now to avoid risky, variable rate plans and start saving today!",tel:866-965-5660,866-965-5660
https://assets.comparepower.com/images/direct_energy.svg,PUCT # 10040,12 Months,lock Locked Rate,lock,20% Green Energy,14.9¢,($148.64 ÷ 1000 kWh),$148.64,Live Brighter Lite 12,"Price stability for 12 months. Great for homes that use under 1,000 kWh of energy! 90 Day Satisfaction Guarantee!",tel:866-285-4447,866-285-4447
https://assets.comparepower.com/images/direct_energy.svg,PUCT # 10040,24 Months,lock Locked Rate,lock,20% Green Energy,14.9¢,($148.64 ÷ 1000 kWh),$148.64,Live Brighter Lite 24,"Price stability for 24 months. Great for homes that use under 1,000 kWh of energy! 90 Day Satisfaction Guarantee!",tel:866-285-4447,866-285-4447
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,12 Months,lock Locked Rate,lock,35% Green Energy,15.2¢,($152.38 ÷ 1000 kWh),$152.38,Luminous 12,"Experience luminous peace of mind with a fixed energy rate and TDU charges are passed through with NO MARK UP! No hidden fees, minimum usage, or gimmicks. 90-day Satisfaction Guarantee!",tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,12 Months,lock Locked Rate,lock,7% Green Energy,15.2¢,($152.47 ÷ 1000 kWh),$152.47,Luminous Weekends 12,"Illuminate your weekends with Luminous Weekends, Free Energy from Friday at 10:00 PM to Monday at 9:00 AM, AND security with a fixed energy rate at all other times. TDU charges are passed through with NO MARK UP! 90-day Satisfaction Guarantee!",tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,12 Months,lock Locked Rate,lock,7% Green Energy,15.3¢,($153.04 ÷ 1000 kWh),$153.04,Luminous Nights 12,"Illuminate your nights with Luminous Nights, Free Energy from 9:00 PM to 9:00 AM every day, AND security with a fixed energy rate at all other times. TDU charges are passed through with NO MARK UP! 90-day Satisfaction Guarantee!",tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/frontier_utilities.svg,PUCT # 10169,12 Months,lock Locked Rate,lock,30.4% Green Energy,15.4¢,($154.48 ÷ 1000 kWh),$154.48,Saver Value Plus 12,Great for apartments or small homes! Enjoy a $75 Usage Credit for each billing cycle when your usage on this plan is above or equal to 750 kWh. New Customer 60 Day Happiness Guarantee!,tel:866-280-3131,866-280-3131
https://assets.comparepower.com/images/gexa_energy.svg,PUCT # 10027,12 Months,lock Locked Rate,lock,100% Green Energy,15.4¢,($154.48 ÷ 1000 kWh),$154.48,Eco Saver Value 12,Great for apartments or small homes! Enjoy a $75 Usage Credit for each billing cycle when your usage on this plan is above or equal to 750 kWh. New Customer 60 Day Satisfaction Guarantee!,tel:888-688-8460,888-688-8460
https://assets.comparepower.com/images/apge.svg,PUCT # 10105,24 Months,lock Locked Rate,lock,5.85% Green Energy,15.5¢,($155.00 ÷ 1000 kWh),$155.00,True Simple 24,"Low, straight-forward energy rate. No gimmicks or hidden feess",tel:877-420-3510,877-420-3510
https://assets.comparepower.com/images/direct_energy.svg,PUCT # 10040,12 Months,lock Locked Rate,lock,35% Green Energy,15.5¢,($155.09 ÷ 1000 kWh),$155.09,Bright Secure 12,Price stability for 12 months. Great for any size home or apartment! 90 Day Satisfaction Guarantee!,tel:866-285-4447,866-285-4447
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,12 Months,lock Locked Rate,lock,100% Green Energy,15.6¢,($156.38 ÷ 1000 kWh),$156.38,Luminous Green 12,"Experience luminous green energy with 100% Renewable energy from local Texas sources and the security of a fixed energy rate. No hidden fees, minimum usage, or gimmicks. Illuminate a brighter, greener future with us. 90-day Satisfaction Guarantee!",tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/frontier_utilities.svg,PUCT # 10169,12 Months,lock Locked Rate,lock,30.4% Green Energy,15.6¢,($156.48 ÷ 1000 kWh),$156.48,Light Saver 12,Great for any size homes! New Customers 60 Day Happiness Guarantee!,tel:866-280-3131,866-280-3131
https://assets.comparepower.com/images/gexa_energy.svg,PUCT # 10027,12 Months,lock Locked Rate,lock,100% Green Energy,15.7¢,($157.48 ÷ 1000 kWh),$157.48,Gexa Light Saver 12,Great for any size homes! 100% Green! New Customers 60 Day Happiness Guarantee!,tel:888-688-8460,888-688-8460
https://assets.comparepower.com/images/discount_power.svg,PUCT # 10177,24 Months,lock Locked Rate,lock,20% Green Energy,15.8¢,($157.61 ÷ 1000 kWh),$157.61,Wise Buy Basic 24 Online,"A fixed-rate plan. Sign up now for this straightforward, affordable plan. No hidden fees. 90 Day Satisfaction Guarantee!",tel:866-996-1740,866-996-1740
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,24 Months,lock Locked Rate,lock,7% Green Energy,15.8¢,($157.87 ÷ 1000 kWh),$157.87,Luminous Weekends 24,"Illuminate your weekends with Luminous Weekends, Free Energy from Friday at 10:00 PM to Monday at 9:00 AM, AND security with a fixed energy rate at all other times. TDU charges are passed through with NO MARK UP! 90-day Satisfaction Guarantee!",tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,24 Months,lock Locked Rate,lock,7% Green Energy,15.8¢,($158.38 ÷ 1000 kWh),$158.38,Luminous 24,"Experience luminous peace of mind with a fixed energy rate and TDU charges are passed through with NO MARK UP! No hidden fees, minimum usage, or gimmicks. 90-day Satisfaction Guarantee!",tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,24 Months,lock Locked Rate,lock,7% Green Energy,15.9¢,($158.54 ÷ 1000 kWh),$158.54,Luminous Nights 24,"Illuminate your nights with Luminous Nights, Free Energy from 9:00 PM to 9:00 AM every day, AND security with a fixed energy rate at all other times. TDU charges are passed through with NO MARK UP! 90-day Satisfaction Guarantee!",tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/cirro_energy.svg,PUCT # 10177,24 Months,lock Locked Rate,lock,20% Green Energy,15.9¢,($158.61 ÷ 1000 kWh),$158.61,Smart Value 24,$30 bill credit when you use between 1000 – 2000 kWh. 90 Day Satisfaction Guarantee!,tel:866-965-5660,866-965-5660
https://assets.comparepower.com/images/apge.svg,PUCT # 10105,36 Months,lock Locked Rate,lock,5.85% Green Energy,15.9¢,($159.00 ÷ 1000 kWh),$159.00,True Simple 36,"Low, straight-forward energy rate. No gimmicks or hidden fees",tel:877-420-3510,877-420-3510
https://assets.comparepower.com/images/4change_energy.svg,PUCT # 10041,12 Months,lock Locked Rate,lock,6% Green Energy,15.9¢,($159.35 ÷ 1000 kWh),$159.35,Cash Money 12,Cash in with Cash Money 12! Get a $100 Visa reward card after you pay your 1st bill AND a $45 bill credit every month you use 1000kWh or more! View Plan Details for reward card terms and conditions. 60 Day Satisfaction Guarantee with no penalty!,tel:888-250-2215,888-250-2215
https://assets.comparepower.com/images/rhythm_energy.svg,PUCT # 10279,23 Months,lock Locked Rate,lock,100% Green Energy,16.0¢,($159.61 ÷ 1000 kWh),$159.61,Simply Green 23,"Get a fixed rate at a great price. Plus, no hidden fees ever, 7-day-a-week customer support, and you can earn Rhythm Rewards Points that can be redeemed to reduce your energy bill!",tel:877-825-9940,877-825-9940
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,36 Months,lock Locked Rate,lock,7% Green Energy,16.0¢,($160.27 ÷ 1000 kWh),$160.27,Luminous Weekends 36,"Illuminate your weekends with Luminous Weekends, Free Energy from Friday at 10:00 PM to Monday at 9:00 AM, AND security with a fixed energy rate at all other times. TDU charges are passed through with NO MARK UP! 90-day Satisfaction Guarantee!",tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,36 Months,lock Locked Rate,lock,7% Green Energy,16.0¢,($160.38 ÷ 1000 kWh),$160.38,Luminous 36,"Experience luminous peace of mind with a fixed energy rate and TDU charges are passed through with NO MARK UP! No hidden fees, minimum usage, or gimmicks. 90-day Satisfaction Guarantee!",tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,36 Months,lock Locked Rate,lock,7% Green Energy,16.1¢,($161.04 ÷ 1000 kWh),$161.04,Luminous Nights 36,"Illuminate your nights with Luminous Nights, Free Energy from 9:00 PM to 9:00 AM every day, AND security with a fixed energy rate at all other times. TDU charges are passed through with NO MARK UP! 90-day Satisfaction Guarantee!",tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,24 Months,lock Locked Rate,lock,100% Green Energy,16.1¢,($161.38 ÷ 1000 kWh),$161.38,Luminous Green 24,"Experience luminous green energy with 100% Renewable energy from local Texas sources and the security of a fixed energy rate. No hidden fees, minimum usage, or gimmicks. Illuminate a brighter, greener future with us. 90-day Satisfaction Guarantee!",tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/rhythm_energy.svg,PUCT # 10279,13 Months,lock Locked Rate,lock,100% Green Energy,16.2¢,($161.67 ÷ 1000 kWh),$161.67,Simply Green 13,"Get a fixed rate at a great price. Plus, no hidden fees ever, 7-day-a-week customer support, and you can earn Rhythm Rewards Points that can be redeemed to reduce your energy bill!",tel:877-825-9940,877-825-9940
https://assets.comparepower.com/images/reliant.svg,PUCT # 10007,12 Months,lock Locked Rate,lock,24% Green Energy,16.4¢,($164.11 ÷ 1000 kWh),$164.11,Pure Power 12 plan,"The Reliant Pure Power plan offers a low, fixed energy charge that helps you manage your electricity budget. 90 Day Satisfaction Guarantee!",tel:866-983-4620,866-983-4620
https://assets.comparepower.com/images/reliant.svg,PUCT # 10007,24 Months,lock Locked Rate,lock,24% Green Energy,16.4¢,($164.11 ÷ 1000 kWh),$164.11,Pure Power 24 plan,"The Reliant Pure Power plan offers a low, fixed energy charge that helps you manage your electricity budget. 90 Day Satisfaction Guarantee!",tel:866-983-4620,866-983-4620
https://assets.comparepower.com/images/atlantex_power.svg,PUCT # 10335,36 Months,lock Locked Rate,lock,100% Green Energy,16.4¢,($164.38 ÷ 1000 kWh),$164.38,Luminous Green 36,"Experience luminous green energy with 100% Renewable energy from local Texas sources and the security of a fixed energy rate. No hidden fees, minimum usage, or gimmicks. Illuminate a brighter, greener future with us. 90-day Satisfaction Guarantee!",tel:866-992-1590,866-992-1590
https://assets.comparepower.com/images/cirro_energy.svg,PUCT # 10177,12 Months,lock Locked Rate,lock,21% Green Energy,16.5¢,($164.61 ÷ 1000 kWh),$164.61,Smart Value 12,$30 bill credit when you use between 1000 – 2000 kWh. 90 Day Satisfaction Guarantee!,tel:866-965-5660,866-965-5660
https://assets.comparepower.com/images/4change_energy.svg,PUCT # 10041,12 Months,lock Locked Rate,lock,6% Green Energy,16.7¢,($166.59 ÷ 1000 kWh),$166.59,One Rate 12,60 Day Satisfaction Guarantee with no penalty! Confusing electricity plans are a thing of the past with One Rate 12. Only pay for the energy you use with no strings attached,tel:888-250-2215,888-250-2215
https://assets.comparepower.com/images/4change_energy.svg,PUCT # 10041,24 Months,lock Locked Rate,lock,6% Green Energy,16.7¢,($167.49 ÷ 1000 kWh),$167.49,One Rate 24,Confusing electricity plans are a thing of the past with One Rate 24. Only pay for the energy you use with no strings attached. 60 Day Satisfaction Guarantee with no penalty!,tel:888-250-2215,888-250-2215
https://assets.comparepower.com/images/reliant.svg,PUCT # 10007,24 Months,lock Locked Rate,lock,24% Green Energy,16.9¢,($169.11 ÷ 1000 kWh),$169.11,Conservation 24 plan,"Conserve electricity and pay less on your bill. You'll get a low energy charge for the first 1,000 kWh you use. No frills, just a locked-in energy charge. 90 Day Satisfaction Guarantee!",tel:866-983-4620,866-983-4620
https://assets.comparepower.com/images/direct_energy.svg,PUCT # 10040,24 Months,lock Locked Rate,lock,20% Green Energy,17.2¢,($171.56 ÷ 1000 kWh),$171.56,Live Brighter 1K+ 24,"Price stability for 24 months. Great for homes that use over 1,000 kWh of energy!",tel:866-285-4447,866-285-4447
https://assets.comparepower.com/images/reliant.svg,PUCT # 10007,24 Months,lock Locked Rate,lock,20% Green Energy,17.2¢,($171.61 ÷ 1000 kWh),$171.61,Basic Power 24 plan,"The Reliant Basic Power plan offers a low, fixed energy charge that helps you manage your electricity budget. No frills, just a locked-in energy charge. 90 Day Satisfaction Guarantee!",tel:866-983-4620,866-983-4620
https://assets.comparepower.com/images/green_mountain.svg,PUCT # 10009,12 Months,lock Locked Rate,lock,100% Green Energy,17.5¢,($175.11 ÷ 1000 kWh),$175.11,Pollution Free Conserve 12 Preferred,"Best for small spaces. Conserve and save with a lower energy price on your first 1,000 kWh of usage and a fixed price for your usage above 1,000 kWh.",tel:866-983-4770,866-983-4770
https://assets.comparepower.com/images/green_mountain.svg,PUCT # 10009,24 Months,lock Locked Rate,lock,100% Green Energy,17.5¢,($175.11 ÷ 1000 kWh),$175.11,Pollution Free Conserve 24 Preferred,"Best for small spaces. Conserve and save with a lower energy price on your first 1,000 kWh of usage and a fixed price for your usage above 1,000 kWh.",tel:866-983-4770,866-983-4770
https://assets.comparepower.com/images/green_mountain.svg,PUCT # 10009,12 Months,lock Locked Rate,lock,100% Green Energy,17.8¢,($177.61 ÷ 1000 kWh),$177.61,Pollution Free e-Plus 12 Preferred,"Power your home with wind. Help us change the way power is made by choosing Pollution Free electricity made from 100% clean, renewable wind energy. 90 Day Satisfaction Guarantee!",tel:866-983-4770,866-983-4770
https://assets.comparepower.com/images/green_mountain.svg,PUCT # 10009,24 Months,lock Locked Rate,lock,100% Green Energy,17.8¢,($177.61 ÷ 1000 kWh),$177.61,Pollution Free e-Plus 24 Preferred,Power your home with wind. 90 Day Satisfaction Guarantee!,tel:866-983-4770,866-983-4770
https://assets.comparepower.com/images/reliant.svg,PUCT # 10007,12 Months,lock Locked Rate,lock,20% Green Energy,17.8¢,($177.61 ÷ 1000 kWh),$177.61,Basic Power 12 plan,"The Reliant Basic Power plan offers a low, fixed energy charge that helps you manage your electricity budget. 90 Day Satisfaction Guarantee!",tel:866-983-4620,866-983-4620
https://assets.comparepower.com/images/amigo_energy.svg,PUCT # 10081,24 Months,lock Locked Rate,lock,31.5% Green Energy,17.8¢,($178.48 ÷ 1000 kWh),$178.48,Secure Energy - 24,Secure a great fixed energy rate!,tel:866-993-4445,866-993-4445
https://assets.comparepower.com/images/just_energy.svg,PUCT # 10052,24 Months,lock Locked Rate,lock,31.5% Green Energy,17.8¢,($178.48 ÷ 1000 kWh),$178.48,Basics - 24,"Just the basics! Clear fixed-rate electricity, and no base charge. 60-Day Happiness Guarantee",tel:866-985-2820,866-985-2820
https://assets.comparepower.com/images/4change_energy.svg,PUCT # 10041,12 Months,lock Locked Rate,lock,6% Green Energy,17.9¢,($178.54 ÷ 1000 kWh),$178.54,Power Maxx Saver 12,$100 bill credit when usage is at least 2000 kWh. 60 Day Satisfaction Guarantee with no penalty!,tel:888-250-2215,888-250-2215
https://assets.comparepower.com/images/4change_energy.svg,PUCT # 10041,24 Months,lock Locked Rate,lock,6% Green Energy,17.9¢,($178.54 ÷ 1000 kWh),$178.54,Power Maxx Saver 24,$100 bill credit when usage is at least 2000 kWh. 60 Day Satisfaction Guarantee with no penalty!,tel:888-250-2215,888-250-2215
https://assets.comparepower.com/images/reliant.svg,PUCT # 10007,12 Months,lock Locked Rate,lock,24% Green Energy,17.9¢,($179.11 ÷ 1000 kWh),$179.11,Conservation 12 plan,"Conserve electricity and pay less on your bill. You'll get a low energy charge for the first 1,000 kWh you use. And there are no minimum usage fees. 90 Day Satisfaction Guarantee!",tel:866-983-4620,866-983-4620
https://assets.comparepower.com/images/amigo_energy.svg,PUCT # 10081,24 Months,lock Locked Rate,lock,0% Green Energy,17.9¢,($179.33 ÷ 1000 kWh),$179.33,Simply Days Free - 24,FREE electricity from 9:00 am to 4:00 pm. Enjoy a fixed rate the rest of the time,tel:866-993-4445,866-993-4445
https://assets.comparepower.com/images/just_energy.svg,PUCT # 10052,24 Months,lock Locked Rate,lock,31.5% Green Energy,17.9¢,($179.43 ÷ 1000 kWh),$179.43,Simple Choice- 24,"Manage your electricity costs effortlessly! Your energy, made simple and friendly, just for you. 60-Day Happiness Guarantee",tel:866-985-2820,866-985-2820
https://assets.comparepower.com/images/4change_energy.svg,PUCT # 10041,12 Months,lock Locked Rate,lock,9% Green Energy,18.0¢,($179.70 ÷ 1000 kWh),$179.70,Power Savvy Saver 12,Great for all home sizes! 60 Day Satisfaction Guarantee with no penalty!,tel:888-250-2215,888-250-2215
https://assets.comparepower.com/images/tara_energy.svg,PUCT # 10051,24 Months,lock Locked Rate,lock,31.5% Green Energy,18.0¢,($179.80 ÷ 1000 kWh),$179.80,Weekends Free Plan - 24,Power-packed weekends without the bill! FREE electricity on the weekends!,tel:877-599-2580,877-599-2580
https://assets.comparepower.com/images/payless_power.svg,PUCT # 10110,12 Months,lock Locked Rate,lock,26.2% Green Energy,18.0¢,($179.98 ÷ 1000 kWh),$179.98,12 Month - Prepaid - No Deposit & No Credit Check,Fixed price for 12 months with no credit check or deposit required. A first payment of $40.00 is required to connect service.,tel:855-854-8490,855-854-8490
https://assets.comparepower.com/images/payless_power.svg,PUCT # 10110,6 Months,lock Locked Rate,lock,26% Green Energy,18.1¢,($180.98 ÷ 1000 kWh),$180.98,6 Month - Prepaid -No Deposit & No Credit Check,Fixed price for 6 months with no credit check or deposit required. A first payment of $40.00 is required to connect service.,tel:855-854-8490,855-854-8490
https://assets.comparepower.com/images/apge.svg,PUCT # 10105,Month to Month,"lock_open
No Contract",lock_open,5.85% Green Energy,18.5¢,($185.43 ÷ 1000 kWh),$185.43,Ultra Flex 1,"Get the freedom of a month-to-month plan with one simple, low rate.",tel:877-420-3510,877-420-3510
https://assets.comparepower.com/images/rhythm_energy.svg,PUCT # 10279,12 Months,lock Locked Rate,lock,100% Green Energy,18.6¢,($186.12 ÷ 1000 kWh),$186.12,Watt a Deal 12,"If your past bills have shown you to use around 2,000 kWh per month of power, this is your plan. On top of a low rate, you'll get $125 in bill credits when you use 2,000 kWh or more of power, just like you've been doing. Price includes a $5 Auto Pay & Paperless Credit.",tel:877-825-9940,877-825-9940
https://assets.comparepower.com/images/txu_energy.svg,PUCT # 10004,Month to Month,"lock_open
No Contract",lock_open,9% Green Energy,18.6¢,($186.43 ÷ 1000 kWh),$186.43,Flex Forward,"Get the freedom of a month-to-month plan with one simple, low rate.",tel:866-370-2440,866-370-2440
https://assets.comparepower.com/images/reliant.svg,PUCT # 10007,12 Months,lock Locked Rate,lock,100% Green Energy,18.8¢,($187.61 ÷ 1000 kWh),$187.61,Truly Free Nights 100% Solar 12 plan,Free Power from 8 PM to 6 AM Every Night + Auto Upgrade to the Make It Solar Program. 90 Day Satisfaction Guarantee!,tel:866-983-4620,866-983-4620
